Wavenumber;HDPE;PS
1450.2072;84.6613;92.0317
1452.1356;84.9791;92.1965
1454.0641;86.2162;92.8617
1455.9926;88.2862;93.9904
1457.921;90.6719;95.3108
1459.8495;92.6727;96.4408
1461.778;93.9041;97.1587
1463.7064;94.444;97.4934
1465.6349;94.5769;97.5917
1467.5634;94.5502;97.5858
1469.4918;94.4919;97.5474
1471.4203;94.4195;97.4931
1473.3488;94.292;97.4109
1475.2772;94.0794;97.2918
1477.2057;93.786;97.1369
1479.1342;93.4009;96.9337
1481.0626;92.8508;96.6356
1482.9911;92.0093;96.17
1484.9196;90.7681;95.4762
1486.848;89.1659;94.5764
1488.7765;87.5218;93.6496
1490.705;86.4035;93.0129
1492.6334;86.3115;92.9473
1494.5619;87.3245;93.4996
1496.4904;89.0845;94.4734
1498.4188;91.078;95.5851
1500.3473;92.884;96.6009
1502.2758;94.2538;97.3809
1504.2042;95.0991;97.8724
1506.1327;95.478;98.1032
1508.0612;95.5706;98.1687
1509.9896;95.5745;98.1765
1511.9181;95.5889;98.1827
1513.8466;95.615;98.1898
1515.775;95.6268;98.1846
1517.7035;95.6136;98.1621
1519.632;95.5836;98.1304
1521.5604;95.5498;98.1029
1523.4889;95.5151;98.0858
1525.4174;95.4733;98.0739
1527.3458;95.4208;98.0593
1529.2743;95.3613;98.0391
1531.2028;95.3019;98.014
1533.1312;95.2481;97.9851
1535.0597;95.2028;97.9521
1536.9882;95.1673;97.9156
1538.9166;95.1418;97.8808
1540.8451;95.1264;97.8585
1542.7736;95.1199;97.8565
1544.702;95.1199;97.8707
1546.6305;95.1244;97.8922
1548.559;95.1337;97.9153
1550.4874;95.151;97.9385
1552.4159;95.1817;97.9619
1554.3444;95.2294;97.9847
1556.2728;95.2871;98.0043
1558.2013;95.3315;98.016
1560.1298;95.3395;98.0164
1562.0582;95.3121;98.0076
1563.9867;95.2664;97.994
1565.9152;95.2145;97.9778
1567.8436;95.1566;97.9561
1569.7721;95.0795;97.9199
1571.7006;94.9581;97.8546
1573.629;94.7664;97.7468
1575.5575;94.5023;97.5972
1577.486;94.2029;97.4283
1579.4144;93.9298;97.2747
1581.3429;93.7362;97.1657
1583.2714;93.6439;97.1133
1585.1998;93.6348;97.1082
1587.1283;93.6498;97.1185
